GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chatunitest-core,lang3.mutable,MutableInt,0,209,0,4,0,59,0,32,0,30
chatunitest-core,lang3.mutable,Mutable,0,3,0,0,0,1,0,1,0,1
chatunitest-core,zju.cst.aces.util.symprompt,PathConstraintExtractor.PathConstraintVisitor,84,0,4,0,13,0,6,0,4,0
chatunitest-core,zju.cst.aces.util.symprompt,PathConstraintExtractor,207,0,18,0,43,0,15,0,6,0
chatunitest-core,gson.reflect,TypeToken,528,215,78,22,105,48,53,19,8,14
chatunitest-core,csv,CSVParser.Builder,8,49,1,1,2,10,2,5,1,5
chatunitest-core,csv,DuplicateHeaderMode,0,34,0,0,0,4,0,1,0,1
chatunitest-core,csv,CSVParser.CSVRecordIterator,16,63,5,9,4,16,6,6,1,4
chatunitest-core,csv,CSVFormat.Builder,96,302,11,9,25,88,18,29,9,28
chatunitest-core,csv,CSVPrinter,40,364,15,34,8,105,15,32,1,21
chatunitest-core,csv,QuoteMode,0,54,0,0,0,6,0,1,0,1
chatunitest-core,csv,CSVRecord,3,271,2,30,1,46,3,37,1,23
chatunitest-core,csv,CSVFormat.Predefined,147,0,0,0,17,0,3,0,3,0
chatunitest-core,csv,CSVParser.Headers,0,9,0,0,0,4,0,1,0,1
chatunitest-core,csv,Constants,0,7,0,0,0,2,0,1,0,1
chatunitest-core,csv,Lexer,256,530,60,86,54,121,45,55,1,23
chatunitest-core,csv,CSVException,0,6,0,0,0,2,0,1,0,1
chatunitest-core,csv,Token,0,42,0,0,0,9,0,3,0,3
chatunitest-core,csv,ExtendedBufferedReader,80,325,28,42,17,71,22,29,0,16
chatunitest-core,csv,CSVParser,138,478,38,48,22,108,33,43,3,28
chatunitest-core,csv,CSVFormat,1540,770,255,80,268,223,215,66,59,53
chatunitest-core,csv,Token.Type,0,54,0,0,0,6,0,1,0,1
chatunitest-core,slicing.arcs,Arc,222,0,32,0,43,0,41,0,25,0
chatunitest-core,lang3.concurrent,AbstractFutureProxy,0,35,0,0,0,9,0,7,0,7
chatunitest-core,lang3.concurrent,UncheckedFutureImpl,18,24,0,0,6,8,0,3,0,3
chatunitest-core,lang3.concurrent,BasicThreadFactory.Builder,0,35,0,0,0,13,0,4,0,4
chatunitest-core,lang3.concurrent,UncheckedTimeoutException,0,4,0,0,0,2,0,1,0,1
chatunitest-core,lang3.concurrent,FutureTasks,0,9,0,0,0,3,0,1,0,1
chatunitest-core,lang3.concurrent,BasicThreadFactory,68,37,9,1,17,10,11,3,6,3
chatunitest-core,lang3.concurrent,UncheckedFuture,0,16,0,0,0,3,0,3,0,3
chatunitest-core,lang3.concurrent,UncheckedExecutionException,0,4,0,0,0,2,0,1,0,1
chatunitest-core,slicing.nodes.exceptionsensitive,ExceptionExitNode,57,0,6,0,8,0,8,0,5,0
chatunitest-core,slicing.nodes.exceptionsensitive,NormalExitNode,8,0,0,0,3,0,2,0,2,0
chatunitest-core,slicing.nodes.exceptionsensitive,ExceptionReturnNode,129,0,12,0,21,0,14,0,8,0
chatunitest-core,slicing.nodes.exceptionsensitive,ExitNode,8,0,0,0,2,0,1,0,1,0
chatunitest-core,slicing.nodes.exceptionsensitive,ReturnNode,24,0,0,0,6,0,3,0,3,0
chatunitest-core,slicing.nodes.exceptionsensitive,NormalReturnNode,50,0,6,0,14,0,8,0,5,0
chatunitest-core,slicing.graphs.pdg,PDG,50,0,0,0,14,0,7,0,7,0
chatunitest-core,slicing.graphs.pdg,ControlDependencyBuilder,198,0,34,0,44,0,23,0,6,0
chatunitest-core,slicing.graphs.pdg,PDG.Builder,284,0,38,0,51,0,29,0,10,0
chatunitest-core,lang3,RuntimeEnvironment,0,115,0,8,0,20,0,12,0,8
chatunitest-core,lang3,NumberRange,0,6,0,0,0,2,0,1,0,1
chatunitest-core,lang3,CharRange,102,145,31,15,19,25,24,14,4,11
chatunitest-core,lang3,SystemUtils,0,53,0,2,0,22,0,8,0,7
chatunitest-core,lang3,Conversion,644,2071,214,212,146,313,185,102,4,40
chatunitest-core,lang3,CachedRandomBits,16,114,5,9,2,23,5,5,0,3
chatunitest-core,lang3,Range.ComparableComparator,0,19,0,0,0,3,0,2,0,2
chatunitest-core,lang3,SystemProperties,8,91,1,7,4,23,2,24,1,21
chatunitest-core,lang3,CharSet,0,286,1,27,0,55,1,23,0,10
chatunitest-core,lang3,CharSetUtils,0,220,0,38,0,56,0,27,0,8
chatunitest-core,lang3,LongRange,0,35,0,0,0,6,0,5,0,5
